Timestamp,IR Presence (Lane 1-4),Vehicle Count,Avg Speed (km/h),Vehicle Types Detected,Vehicle Density (%),Saturation Flow Rate(veh/hr/lane),"Volume to
 Saturation Lane Traffic ratio(%)",FreeFlowSpeed (km/h),TSR,VLSR,Speed Factor,CI,Congestion Level,traffic_reduction_pct,congestionStatus
8:00:00,"[0, 0, 1, 0]",97,31.2,"10 Bikes, 90 Ambulance, 60 Fire Extinguisher",40,1800,1.347222222,50,0.376,0.013472222,0.624,0.240588889,Moderate,37.6,Medium
8:01:00,"[0, 0, 1, 1]",126,48.5,"32 Ambulance, 94 Ambulance",57,1800,1.75,50,0.03,0.0175,0.97,0.241,Moderate,3,Low
8:02:00,"[1, 0, 0, 0]",61,42,"99 Trucks, 76 Patrol, 65 Fire Extinguisher",82,1800,0.847222222,50,0.16,0.008472222,0.84,0.363388889,High,16,Low
8:03:00,"[0, 0, 0, 0]",170,38,"50 Cars, 71 Patrol, 63 Fire Extinguisher",75,1800,2.361111111,50,0.24,0.023611111,0.76,0.357444444,High,24,Low
8:04:00,"[1, 0, 0, 0]",180,24.7,"17 Patrol, 93 Cars, 25 Bikes, 23 Vans",90,1800,2.5,50,0.506,0.025,0.494,0.4712,Very High,50.6,Medium
8:05:00,"[1, 1, 0, 1]",159,24.7,"16 Cars, 34 Cars, 55 Ambulance",30,1800,2.208333333,50,0.506,0.022083333,0.494,0.230033333,Moderate,50.6,Medium
8:06:00,"[0, 0, 1, 0]",175,21.7,"28 Fire Extinguisher, 57 Cars, 88 Ambulance, 15 Ambulance",89,1800,2.430555556,50,0.566,0.024305556,0.434,0.478922222,Very High,56.6,Medium
8:07:00,"[1, 0, 0, 1]",145,46,"97 Vans, 69 Cars, 30 Trucks, 90 Vans",73,1800,2.013888889,50,0.08,0.020138889,0.92,0.316055556,High,8,Low
8:08:00,"[0, 1, 1, 1]",79,38,"91 Trucks, 13 Ambulance, 88 Ambulance",43,1800,1.097222222,50,0.24,0.010972222,0.76,0.224388889,Moderate,24,Low
8:09:00,"[0, 1, 0, 1]",93,41.2,"38 Trucks, 62 Vans, 79 Ambulance",59,1800,1.291666667,50,0.176,0.012916667,0.824,0.276366667,Moderate,17.6,Low
8:10:00,"[1, 0, 0, 1]",145,20.6,"78 Fire Extinguisher, 22 Vans",43,1800,2.013888889,50,0.588,0.020138889,0.412,0.297655556,Moderate,58.8,Medium
8:11:00,"[1, 0, 1, 0]",163,49.1,"82 Vans, 27 Bikes, 91 Fire Extinguisher, 83 Vans",31,1800,2.263888889,50,0.018,0.022638889,0.982,0.136655556,Low,1.8,Low
8:12:00,"[1, 0, 1, 0]",62,45,"49 Patrol, 97 Fire Extinguisher",47,1800,0.861111111,50,0.1,0.008611111,0.9,0.211444444,Moderate,10,Low
8:13:00,"[1, 0, 0, 0]",169,26.4,"35 Vans, 47 Ambulance, 46 Fire Extinguisher",59,1800,2.347222222,50,0.472,0.023472222,0.528,0.339788889,High,47.2,Medium
8:14:00,"[1, 1, 0, 0]",118,25.5,"90 Ambulance, 52 Fire Extinguisher",71,1800,1.638888889,50,0.49,0.016388889,0.51,0.388555556,High,49,Medium
8:15:00,"[1, 1, 0, 1]",51,25.5,"15 Vans, 68 Patrol",45,1800,0.708333333,50,0.49,0.007083333,0.51,0.280833333,Moderate,49,Medium
8:16:00,"[0, 1, 1, 1]",80,29.1,"89 Fire Extinguisher, 43 Vans",33,1800,1.111111111,50,0.418,0.011111111,0.582,0.220044444,Moderate,41.8,Medium
8:17:00,"[0, 1, 1, 1]",72,35.7,"76 Bikes, 81 Ambulance",67,1800,1,50,0.286,0.01,0.714,0.3292,High,28.6,Low
8:18:00,"[0, 0, 1, 1]",122,33,"40 Vans, 83 Patrol, 73 Patrol",65,1800,1.694444444,50,0.34,0.016944444,0.66,0.334777778,High,34,Medium
8:19:00,"[0, 0, 0, 1]",120,28.7,"70 Trucks, 57 Trucks, 75 Vans",43,1800,1.666666667,50,0.426,0.016666667,0.574,0.263866667,Moderate,42.6,Medium
8:20:00,"[1, 1, 0, 0]",134,38.4,"37 Patrol, 18 Trucks",41,1800,1.861111111,50,0.232,0.018611111,0.768,0.217844444,Moderate,23.2,Low
8:21:00,"[0, 1, 1, 0]",110,24.2,"83 Cars, 87 Ambulance, 90 Trucks",41,1800,1.527777778,50,0.516,0.015277778,0.484,0.273311111,Moderate,51.6,Medium
8:22:00,"[1, 0, 1, 0]",120,28.8,"14 Vans, 34 Bikes",63,1800,1.666666667,50,0.424,0.016666667,0.576,0.343466667,High,42.4,Medium
8:23:00,"[0, 0, 1, 0]",200,31,"60 Fire Extinguisher, 83 Vans, 26 Cars",57,1800,2.777777778,50,0.38,0.027777778,0.62,0.315111111,High,38,Medium
8:24:00,"[1, 0, 0, 1]",190,33.7,"77 Bikes, 52 Trucks",46,1800,2.638888889,50,0.326,0.026388889,0.674,0.259755556,Moderate,32.6,Medium
8:25:00,"[1, 0, 1, 1]",197,43.6,"99 Cars, 30 Trucks",68,1800,2.736111111,50,0.128,0.027361111,0.872,0.308544444,High,12.8,Low
8:26:00,"[1, 0, 0, 1]",173,26,"62 Fire Extinguisher, 62 Trucks",33,1800,2.402777778,50,0.48,0.024027778,0.52,0.237611111,Moderate,48,Medium
8:27:00,"[0, 0, 0, 1]",180,35.4,"71 Patrol, 26 Trucks, 82 Patrol, 55 Trucks",36,1800,2.5,50,0.292,0.025,0.708,0.2124,Moderate,29.2,Low
8:28:00,"[1, 0, 1, 0]",100,37.8,"22 Ambulance, 27 Vans",72,1800,1.388888889,50,0.244,0.013888889,0.756,0.342355556,High,24.4,Low
8:29:00,"[1, 1, 0, 0]",178,21.4,"47 Patrol, 79 Trucks, 55 Bikes",56,1800,2.472222222,50,0.572,0.024722222,0.428,0.348288889,High,57.2,Medium
8:30:00,"[0, 0, 1, 0]",122,38.2,"30 Fire Extinguisher, 73 Ambulance",43,1800,1.694444444,50,0.236,0.016944444,0.764,0.225977778,Moderate,23.6,Low
8:31:00,"[0, 1, 0, 1]",186,25.1,"18 Vans, 64 Ambulance, 50 Fire Extinguisher, 83 Bikes",45,1800,2.583333333,50,0.498,0.025833333,0.502,0.289933333,Moderate,49.8,Medium
8:32:00,"[0, 0, 1, 0]",169,22,"92 Ambulance, 55 Vans, 38 Patrol",30,1800,2.347222222,50,0.56,0.023472222,0.44,0.241388889,Moderate,56,Medium
8:33:00,"[0, 1, 1, 0]",56,48.5,"98 Bikes, 25 Trucks, 27 Bikes, 57 Patrol",63,1800,0.777777778,50,0.03,0.007777778,0.97,0.261111111,Moderate,3,Low
8:34:00,"[0, 1, 0, 1]",127,49,"28 Ambulance, 50 Ambulance, 18 Vans",42,1800,1.763888889,50,0.02,0.017638889,0.98,0.179055556,Low,2,Low
8:35:00,"[1, 0, 1, 0]",199,44.3,"88 Patrol, 73 Cars, 50 Cars, 82 Patrol",55,1800,2.763888889,50,0.114,0.027638889,0.886,0.253855556,Moderate,11.4,Low
8:36:00,"[0, 0, 1, 0]",99,29.1,"43 Ambulance, 96 Patrol, 17 Patrol",72,1800,1.375,50,0.418,0.01375,0.582,0.3771,High,41.8,Medium
8:37:00,"[1, 1, 1, 1]",162,22.9,"82 Vans, 73 Bikes, 25 Bikes, 84 Cars",78,1800,2.25,50,0.542,0.0225,0.458,0.4294,Very High,54.2,Medium
8:38:00,"[0, 1, 0, 1]",100,40.5,"57 Patrol, 22 Patrol, 44 Trucks, 10 Bikes",84,1800,1.388888889,50,0.19,0.013888889,0.81,0.379555556,High,19,Low
8:39:00,"[1, 1, 1, 0]",88,33.2,"76 Trucks, 57 Trucks",76,1800,1.222222222,50,0.336,0.012222222,0.664,0.376088889,High,33.6,Medium
8:40:00,"[1, 0, 0, 1]",94,23.7,"68 Fire Extinguisher, 97 Fire Extinguisher, 73 Patrol, 51 Vans",33,1800,1.305555556,50,0.526,0.013055556,0.474,0.242422222,Moderate,52.6,Medium
8:41:00,"[1, 1, 0, 1]",95,34.9,"13 Fire Extinguisher, 87 Cars",58,1800,1.319444444,50,0.302,0.013194444,0.698,0.297677778,Moderate,30.2,Medium
8:42:00,"[0, 0, 0, 0]",144,21,"38 Patrol, 67 Cars, 67 Cars",77,1800,2,50,0.58,0.02,0.42,0.432,Very High,58,Medium
8:43:00,"[1, 0, 1, 0]",144,47.3,"33 Fire Extinguisher, 64 Trucks",42,1800,2,50,0.054,0.02,0.946,0.1868,Low,5.4,Low
8:44:00,"[1, 0, 1, 0]",54,27.8,"37 Ambulance, 60 Patrol, 65 Trucks",80,1800,0.75,50,0.444,0.0075,0.556,0.4118,Very High,44.4,Medium
8:45:00,"[0, 0, 0, 1]",194,39.9,"87 Vans, 81 Ambulance",32,1800,2.694444444,50,0.202,0.026944444,0.798,0.179177778,Low,20.2,Low
8:46:00,"[1, 0, 0, 0]",111,29.4,"25 Cars, 65 Trucks, 60 Trucks, 21 Vans",50,1800,1.541666667,50,0.412,0.015416667,0.588,0.288566667,Moderate,41.2,Medium
