remote_worker_id,location,industry,age,experience_years,average_daily_work_hours,break_frequency_per_day,task_completion_rate,late_task_ratio,calendar_scheduled_usage,focus_time_minutes,tool_usage_frequency,automated_task_count,AI_assisted_planning,real_time_feedback_score,productivity_label,productivity_score,congestionStatus,avg_vehicle_count,avg_speed,avg_traffic_reduction
W0001,Village,Healthcare,23,26,7.45,1,66.3770237330691,0.254623692804906,55.4969257899761,106,19,13,0,80,Low,32.31,Low,125.641259698768,42.4201734367869,15.1596531264263
W0002,City,Healthcare,27,27,9.82,3,88.226501122943,0.173382437303214,66.4967553779198,141,5,1,1,83,Medium,41.09,Low,125.641259698768,42.4201734367869,15.1596531264263
W0003,Village,Retail,30,8,7.38,2,67.0041702415159,0.351835126334531,41.3670644679594,92,4,4,0,81,Low,25.69,Low,125.641259698768,42.4201734367869,15.1596531264263
W0004,Village,Finance,54,19,8.37,1,66.004424038903,0.347839600891566,51.0868047095759,94,17,9,1,84,Low,31.98,Medium,124.515487748497,27.3363384188627,45.3273231622746
W0005,City,Education,46,1,7.51,4,91.4689416391293,0.0855822907123904,93.618344252345,202,14,8,0,64,High,48.19,Low,125.641259698768,42.4201734367869,15.1596531264263
W0006,City,Finance,34,29,7.98,5,78.6886282397139,0.105673020482805,62.3379903482162,160,5,11,0,81,Medium,36.08,Medium,124.515487748497,27.3363384188627,45.3273231622746
W0007,Village,Finance,30,14,7.85,5,96.7054050650609,0.0318352022136011,87.6245990554975,210,18,2,0,55,High,49.91,Medium,124.515487748497,27.3363384188627,45.3273231622746
W0008,Town,Healthcare,34,20,6.99,3,70.0724395473796,0.378185299604896,37.4516166857456,94,0,7,0,94,Low,24.77,Medium,124.515487748497,27.3363384188627,45.3273231622746
W0009,Village,Finance,52,13,8.81,1,78.349124991322,0.16228206350265,71.6867344600298,137,0,3,1,70,Medium,38.28,Low,125.641259698768,42.4201734367869,15.1596531264263
W0010,Village,IT,32,8,8.36,4,81.041113677867,0.134487755629245,69.8029716919831,121,12,5,1,82,Medium,41.38,Low,125.641259698768,42.4201734367869,15.1596531264263
W0011,Village,Healthcare,25,20,8.73,1,99.4053730110295,0.0905943967926265,91.3361221002093,211,2,9,1,81,High,49.67,Medium,124.515487748497,27.3363384188627,45.3273231622746
W0012,Village,IT,55,33,7.88,5,73.3453205029373,0.331147935329213,50.7427453927681,113,9,5,1,68,Low,32.69,Medium,124.515487748497,27.3363384188627,45.3273231622746
W0013,City,Education,59,26,6.41,1,81.3229459372637,0.228509491975885,77.9378009326769,163,2,2,0,82,Medium,38.17,Medium,124.515487748497,27.3363384188627,45.3273231622746
W0014,Village,Healthcare,25,21,9.55,4,82.8497227392595,0.114258480524885,63.8089119075608,169,8,13,0,77,Medium,38.14,Low,125.641259698768,42.4201734367869,15.1596531264263
W0015,Town,Education,59,9,7.18,3,71.3906201637301,0.25536493645224,45.3185716240876,106,7,4,1,80,Low,31.37,Medium,124.515487748497,27.3363384188627,45.3273231622746
W0016,City,Healthcare,40,24,7.94,2,81.3792515017433,0.190854886068981,73.145414255056,136,2,11,1,70,Medium,39.59,Low,125.641259698768,42.4201734367869,15.1596531264263
W0017,Town,Retail,27,17,8.26,1,66.595172212775,0.311672339851021,36.8604698311219,72,12,2,0,83,Low,26.66,Medium,124.515487748497,27.3363384188627,45.3273231622746
W0018,Town,Finance,55,24,7.93,2,90.6724063405204,0.0464689468445165,96.4147168163146,230,5,10,0,64,High,47.12,Low,125.641259698768,42.4201734367869,15.1596531264263
W0019,Town,Retail,39,21,8.6,5,72.1299836405826,0.254998479915926,56.4708341762092,100,12,14,1,63,Low,34.82,Low,125.641259698768,42.4201734367869,15.1596531264263
W0020,Town,Education,34,13,8.79,3,79.2450736540603,0.204698570724669,75.0149381748922,159,19,10,1,68,Medium,42.6,Low,125.641259698768,42.4201734367869,15.1596531264263
W0021,City,Finance,44,11,7.23,3,82.1722050528165,0.120286178686975,70.8488398551936,174,19,14,1,92,Medium,43.49,Low,125.641259698768,42.4201734367869,15.1596531264263
W0022,City,Healthcare,40,19,9.45,1,63.2388819848021,0.270455665754419,35.7039681887052,117,11,0,0,64,Low,25.66,Medium,124.515487748497,27.3363384188627,45.3273231622746
W0023,Town,Finance,32,11,7.18,3,79.058329513474,0.102177264179141,70.9219417193376,176,12,6,1,55,Medium,41.35,Low,125.641259698768,42.4201734367869,15.1596531264263
W0024,Town,IT,22,13,7.9,1,79.4292557034276,0.245971706714036,63.6806239647497,137,1,3,1,58,Medium,36.36,Low,125.641259698768,42.4201734367869,15.1596531264263
W0025,City,Finance,45,1,7.03,1,88.7821873501672,0.144663123050837,71.3943838547539,162,15,13,1,86,Medium,44.53,Low,125.641259698768,42.4201734367869,15.1596531264263
W0026,City,IT,28,19,6.69,2,85.4882095244714,0.149316143123889,71.6063415868202,134,5,6,1,69,Medium,41.53,Low,125.641259698768,42.4201734367869,15.1596531264263
W0027,City,Finance,46,12,8.75,3,82.6103380487581,0.198066688443423,67.3539502267629,123,18,2,1,83,Medium,41.92,Medium,124.515487748497,27.3363384188627,45.3273231622746
W0028,Village,IT,42,8,11.25,1,80.4408520655838,0.162398441196286,74.1867483309461,145,12,11,0,87,Medium,39.81,Medium,124.515487748497,27.3363384188627,45.3273231622746
W0029,Village,Education,36,8,7.07,2,82.6947122154845,0.233172646050373,61.98855204425,173,16,14,1,75,Medium,40.15,Low,125.641259698768,42.4201734367869,15.1596531264263
W0030,Village,Retail,22,12,8.96,4,70.2462255428781,0.307568688386027,57.4040448455622,96,8,14,0,67,Low,31.12,Medium,124.515487748497,27.3363384188627,45.3273231622746
W0031,Town,Healthcare,33,33,7.11,2,80.6021738201156,0.122574324710888,69.5678314136676,174,16,10,1,77,Medium,42.14,Low,125.641259698768,42.4201734367869,15.1596531264263
W0032,Village,Finance,28,26,7.49,2,61.0528284026792,0.356167596754372,44.007343810903,98,1,4,1,58,Low,25.8,Medium,124.515487748497,27.3363384188627,45.3273231622746
W0033,Town,Retail,36,28,9.61,1,69.8848136049324,0.323568161277968,37.4731737974862,111,18,4,1,81,Low,30.87,Low,125.641259698768,42.4201734367869,15.1596531264263
W0034,Town,Healthcare,42,5,6.21,5,80.7114764308802,0.148683116459639,74.8520548575616,142,18,14,0,55,Medium,41.36,Medium,124.515487748497,27.3363384188627,45.3273231622746
W0035,Village,Healthcare,40,8,5.89,5,71.2438632451075,0.256621834313118,58.7706734238358,83,6,12,0,63,Low,31.8,Medium,124.515487748497,27.3363384188627,45.3273231622746
W0036,Town,IT,50,25,7.4,5,79.0922426517677,0.221663086930039,61.6639358949073,135,9,1,0,77,Medium,35.7,Low,125.641259698768,42.4201734367869,15.1596531264263
W0037,Village,Education,46,27,8.3,2,87.3291080845041,0.161936678438382,70.2123813197915,120,9,10,1,73,Medium,42.47,Low,125.641259698768,42.4201734367869,15.1596531264263
W0038,Village,Education,54,23,8.06,1,69.5161611440246,0.341354341706037,52.3004256616303,85,19,9,1,62,Low,33.74,Low,125.641259698768,42.4201734367869,15.1596531264263
W0039,City,Retail,53,30,7.93,3,91.2126489335914,0.0113761958804549,88.2192121607181,212,8,11,0,92,High,46.58,Low,125.641259698768,42.4201734367869,15.1596531264263
W0040,Village,Education,56,23,7.54,2,81.1074222771005,0.245792626788971,60.7134940811409,174,16,1,0,61,Medium,37.29,Medium,124.515487748497,27.3363384188627,45.3273231622746
W0041,City,Finance,59,20,8.44,2,99.4039703394554,0.0260666382562102,97.0669299521745,206,14,3,1,68,High,53.86,Low,125.641259698768,42.4201734367869,15.1596531264263
W0042,Village,Education,47,18,4,1,96.2854403087886,0.00950402406516194,81.8990729483666,215,1,14,0,70,High,45.46,Medium,124.515487748497,27.3363384188627,45.3273231622746
W0043,Village,Retail,32,18,6.6,4,70.7695078293822,0.339508448515933,39.7788590198996,65,3,3,1,76,Low,28.42,Medium,124.515487748497,27.3363384188627,45.3273231622746
W0044,City,Education,56,2,7.39,2,94.4510666371799,0.0113135937674024,87.0275793351622,185,18,3,0,68,High,49.3,Low,125.641259698768,42.4201734367869,15.1596531264263
W0045,City,Finance,29,4,8.35,4,87.4437951643395,0.10724866132831,70.701861032688,173,16,5,0,73,Medium,42.57,Low,125.641259698768,42.4201734367869,15.1596531264263
W0046,Village,IT,35,30,9.29,4,72.6176289091519,0.274588039307042,41.0608554871906,103,4,1,0,75,Low,28.09,Low,125.641259698768,42.4201734367869,15.1596531264263
W0047,Town,Retail,31,33,6.44,5,99.6881644148338,0.0991892857319642,95.7952354746927,198,6,5,1,94,High,51.36,Low,125.641259698768,42.4201734367869,15.1596531264263
W0048,City,IT,23,18,9.25,1,92.7887192626097,0.095021120586543,81.2652534364135,194,17,6,1,77,High,48.62,Medium,124.515487748497,27.3363384188627,45.3273231622746
W0049,Town,IT,30,19,6.96,4,69.7061645597209,0.367708512276904,53.9671559211944,75,6,10,0,95,Low,29.26,Low,125.641259698768,42.4201734367869,15.1596531264263
W0050,Town,IT,24,28,7.34,1,96.693483507628,0.0831573925910453,83.0062124496794,237,16,9,1,67,High,50.08,Low,125.641259698768,42.4201734367869,15.1596531264263
W0051,Town,Healthcare,42,20,8.2,5,85.686306612971,0.18796892685622,64.9636575166181,158,6,2,1,93,Medium,40.08,Medium,124.515487748497,27.3363384188627,45.3273231622746
W0052,City,Healthcare,47,33,7.26,1,66.5584573192192,0.339745911354403,30.8981474992528,88,3,10,1,85,Low,25.39,Low,125.641259698768,42.4201734367869,15.1596531264263
W0053,Town,IT,29,12,8.83,2,96.8833076233268,0.0604130628856535,98.7163124822229,216,7,11,1,91,High,51.69,Low,125.641259698768,42.4201734367869,15.1596531264263
W0054,City,Retail,23,15,7.01,4,99.8265241149357,0.0637047553503628,83.2327538756919,238,12,7,0,78,High,48.46,Low,125.641259698768,42.4201734367869,15.1596531264263
W0055,Town,Finance,27,2,7.03,1,75.5024985166451,0.237228670888114,66.6883150675357,128,3,1,1,66,Medium,36.27,Low,125.641259698768,42.4201734367869,15.1596531264263
W0056,Village,Finance,49,29,8.76,3,85.6045667101235,0.209755790908473,73.4744333720937,124,5,10,1,53,Medium,41.33,Medium,124.515487748497,27.3363384188627,45.3273231622746
W0057,Village,Education,50,10,6.58,1,62.9540936839054,0.353243949764088,36.3719597532015,79,4,7,0,93,Low,23.46,Medium,124.515487748497,27.3363384188627,45.3273231622746
W0058,City,Retail,47,2,7.8,4,66.7593413065972,0.298460660260863,54.330161803548,113,11,12,1,94,Low,32.16,Low,125.641259698768,42.4201734367869,15.1596531264263
W0059,Village,Healthcare,46,11,5.51,5,96.5976364045308,0.0136982222309528,93.7373298746982,200,3,10,1,78,High,50.27,Medium,124.515487748497,27.3363384188627,45.3273231622746
W0060,Village,IT,33,13,9.68,5,78.8361649253977,0.14722617331131,62.2192780469451,153,8,4,1,53,Medium,38.29,Low,125.641259698768,42.4201734367869,15.1596531264263
W0061,Town,Education,26,10,8.95,4,83.7835517744219,0.138932564990962,65.5554294531071,169,3,1,0,59,Medium,37.53,Low,125.641259698768,42.4201734367869,15.1596531264263
W0062,City,Finance,55,14,10.8,2,91.0448031675396,0.0720267923947396,93.7456600882626,208,18,6,0,74,High,49.03,Medium,124.515487748497,27.3363384188627,45.3273231622746
W0063,Town,Healthcare,58,18,9.11,2,88.8747911223472,0.115292882437042,67.6882555403619,171,13,13,1,80,Medium,43.72,Medium,124.515487748497,27.3363384188627,45.3273231622746
W0064,Town,Healthcare,36,9,6.14,5,85.5915401689343,0.138604818760245,73.1766869038801,146,4,1,1,52,Medium,41.79,Low,125.641259698768,42.4201734367869,15.1596531264263
W0065,Town,IT,57,28,8.3,5,75.7907679360488,0.200928255671454,76.0177019916264,155,17,13,0,96,Medium,39.4,Low,125.641259698768,42.4201734367869,15.1596531264263
W0066,Town,Finance,36,3,6.4,4,63.0973294772936,0.351561056898767,52.394968000905,61,9,5,0,51,Low,27.72,Medium,124.515487748497,27.3363384188627,45.3273231622746
W0067,Town,Retail,44,20,9.39,2,86.2456876087798,0.140800386059648,73.7359250633995,161,18,9,0,74,Medium,42.88,Low,125.641259698768,42.4201734367869,15.1596531264263
W0068,Town,Healthcare,27,6,6.18,5,94.9786918051432,0.0841808709028819,96.027041165405,208,11,2,1,98,High,51.14,Low,125.641259698768,42.4201734367869,15.1596531264263
W0069,Town,IT,42,27,6.12,2,94.5442231915954,0.074514480982782,84.2713460067239,199,17,8,1,55,High,49.96,Low,125.641259698768,42.4201734367869,15.1596531264263
W0070,City,Retail,44,2,5.57,5,92.2763253581939,0.0524436345857749,96.121934959215,223,16,2,0,75,High,49.68,Low,125.641259698768,42.4201734367869,15.1596531264263
W0071,Village,Finance,37,29,6.91,1,96.422096370027,0.0245631574048815,82.1855889073632,200,10,10,1,57,High,49.2,Medium,124.515487748497,27.3363384188627,45.3273231622746
W0072,Town,Healthcare,36,3,6.67,3,90.9896862340871,0.0271381395079585,97.1021884399488,189,2,14,1,84,High,48.92,Low,125.641259698768,42.4201734367869,15.1596531264263
W0073,Town,Retail,46,16,5.99,1,82.4686986626881,0.107913492224814,68.6818381480667,177,16,11,1,76,Medium,42.67,Low,125.641259698768,42.4201734367869,15.1596531264263
W0074,Town,Retail,57,30,9.89,5,90.4097822224989,0.0705063284205379,89.0197300529669,216,0,11,1,74,High,46.31,Low,125.641259698768,42.4201734367869,15.1596531264263
W0075,Town,Retail,32,2,8.14,3,84.9053194656926,0.104676236366788,76.5337371193526,178,14,2,1,67,Medium,44.61,Low,125.641259698768,42.4201734367869,15.1596531264263
W0076,Town,Healthcare,36,17,7.99,3,66.1465808434961,0.266919537829987,50.4705908957699,71,8,4,1,50,Low,30.9,Medium,124.515487748497,27.3363384188627,45.3273231622746
W0077,Town,Healthcare,25,12,9.41,5,69.1347861976862,0.366070112285355,40.392513534077,67,14,6,1,97,Low,29.99,Medium,124.515487748497,27.3363384188627,45.3273231622746
